autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_app_ins_history_imei_alter_cnt,blank,3711885,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,0,97,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,1,4781,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,2,13724009,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,3,3431,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,4,166,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_lm,blank,4445694,201910,20191016
ft_app_ins_current_malicious_cnt,0,14466292,201910,20191016
ft_app_ins_current_malicious_cnt,1,0,201910,20191016
ft_app_ins_current_malicious_cnt,2,0,201910,20191016
ft_app_ins_current_malicious_cnt,3,0,201910,20191016
ft_app_ins_current_malicious_cnt,4,1,201910,20191016
ft_app_ins_current_malicious_cnt,blank,3711885,201910,20191016
ft_app_ins_history_malicious_cnt,0,14466095,201910,20191016
ft_app_ins_history_malicious_cnt,1,170,201910,20191016
ft_app_ins_history_malicious_cnt,2,21,201910,20191016
ft_app_ins_history_malicious_cnt,3,4,201910,20191016
ft_app_ins_history_malicious_cnt,4,3,201910,20191016
ft_app_ins_history_malicious_cnt,blank,3711885,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,0,7948787,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,1,280225,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,2,122146,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,3,70392,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,4,39736,201910,20191016
ft_dev_battery_use_30d_whole_nighttime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,0,7246914,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,1,666805,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,2,324362,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,3,174938,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,4,48267,201910,20191016
ft_dev_battery_use_30d_weekday_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,0,6999525,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,1,724359,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,2,358356,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,3,240803,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,4,138243,201910,20191016
ft_dev_battery_use_30d_weekday_worktime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,0,6876825,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,1,784705,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,2,388609,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,3,255174,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,4,155973,201910,20191016
ft_dev_battery_use_30d_weekday_closetime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,0,7948178,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,1,279799,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,2,122690,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,3,69437,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,4,41182,201910,20191016
ft_dev_battery_use_30d_weekday_nighttime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,0,7248565,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,1,655000,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,2,330076,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,3,173355,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,4,54290,201910,20191016
ft_dev_battery_use_30d_weekend_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,0,6947465,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,1,773041,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,2,366080,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,3,221697,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,4,153003,201910,20191016
ft_dev_battery_all_90d_whole_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,0,8401686,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,1,51423,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,2,5153,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,3,1781,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,4,1243,201910,20191016
ft_dev_battery_full_90d_whole_allday_hours,blank,9716892,201910,20191016
ft_app_ins_current_finance_cnt_std,0,14559261,201910,20191016
ft_app_ins_current_finance_cnt_std,1,12329,201910,20191016
ft_app_ins_current_finance_cnt_std,2,1196,201910,20191016
ft_app_ins_current_finance_cnt_std,3,289,201910,20191016
ft_app_ins_current_finance_cnt_std,4,129,201910,20191016
ft_app_ins_current_finance_cnt_std,blank,3604974,201910,20191016
ft_dev_battery_full_90d_weekday_allday_hours,0,8400826,201910,20191016
ft_dev_battery_full_90d_weekday_allday_hours,1,52150,201910,20191016
ft_dev_battery_full_90d_weekday_allday_hours,2,5258,201910,20191016
ft_dev_battery_full_90d_weekday_allday_hours,3,1797,201910,20191016
ft_dev_battery_full_90d_weekday_allday_hours,4,1255,201910,20191016
