feature|tag|min_value|max_value
ft_app_act_30d_debit_credit_times_cv|3|0.8485|1.1314
ft_app_act_30d_debit_credit_times_cv|4|1.1314|inf
ft_app_act_30d_debit_credit_days_cv|0|-inf|0.2828
ft_app_act_30d_debit_credit_days_cv|1|0.2828|0.5657
ft_app_act_30d_debit_credit_days_cv|2|0.5657|0.8485
ft_app_act_30d_debit_credit_days_cv|3|0.8485|1.1314
ft_app_act_30d_debit_credit_days_cv|4|1.1314|inf
ft_app_act_30d_micro_loan_cnt_cv|0|-inf|0.2828
ft_app_act_30d_micro_loan_cnt_cv|1|0.2828|0.5657
ft_app_act_30d_micro_loan_cnt_cv|2|0.5657|0.8485
ft_app_act_30d_micro_loan_cnt_cv|3|0.8485|1.1314
ft_app_act_30d_micro_loan_cnt_cv|4|1.1314|inf
ft_app_act_30d_micro_loan_times_cv|0|-inf|0.2828
ft_app_act_30d_micro_loan_times_cv|1|0.2828|0.5657
ft_app_act_30d_micro_loan_times_cv|2|0.5657|0.8485
ft_app_act_30d_micro_loan_times_cv|3|0.8485|1.1314
ft_app_act_30d_micro_loan_times_cv|4|1.1314|inf
ft_app_act_30d_micro_loan_days_cv|0|-inf|0.2828
ft_app_act_30d_micro_loan_days_cv|1|0.2828|0.5657
ft_app_act_30d_micro_loan_days_cv|2|0.5657|0.8485
ft_app_act_30d_micro_loan_days_cv|3|0.8485|1.1314
ft_app_act_30d_micro_loan_days_cv|4|1.1314|inf
ft_app_ins_current_risk_cnt|0|-inf|3.6
ft_app_ins_current_risk_cnt|1|3.6|7.2
ft_app_ins_current_risk_cnt|2|7.2|10.8
ft_app_ins_current_risk_cnt|3|10.8|14.4
ft_app_ins_current_risk_cnt|4|14.4|inf
ft_app_ins_history_risk_cnt|0|-inf|4.0
ft_app_ins_history_risk_cnt|1|4.0|8.0
ft_app_ins_history_risk_cnt|2|8.0|12.0
ft_app_ins_history_risk_cnt|3|12.0|16.0
ft_app_ins_history_risk_cnt|4|16.0|inf
ft_app_ins_current_cheating_cnt|0|-inf|2.2
ft_app_ins_current_cheating_cnt|1|2.2|4.4
ft_app_ins_current_cheating_cnt|2|4.4|6.6
ft_app_ins_current_cheating_cnt|3|6.6|8.8
ft_app_ins_current_cheating_cnt|4|8.8|inf
ft_app_ins_history_cheating_cnt|0|-inf|4.4
ft_app_ins_history_cheating_cnt|1|4.4|8.8
ft_app_ins_history_cheating_cnt|2|8.8|13.2
ft_app_ins_history_cheating_cnt|3|13.2|17.6
ft_app_ins_history_cheating_cnt|4|17.6|inf
ft_app_ins_current_imei_alter_cnt|0|-inf|0.2
ft_app_ins_current_imei_alter_cnt|1|0.2|0.4
ft_app_ins_current_imei_alter_cnt|2|0.4|0.6
ft_app_ins_current_imei_alter_cnt|3|0.6|0.8
ft_app_ins_current_imei_alter_cnt|4|0.8|inf
ft_app_ins_history_imei_alter_cnt|0|-inf|0.2
