feature|if_continuous|tag|min_value|max_value|chinese_name
ft_app_ins_current_finance_cnt_cv|1|1|0.2828|0.5657|近三月金融类APP安装个数的变异系数
ft_app_ins_current_finance_cnt_cv|1|2|0.5657|0.8485|近三月金融类APP安装个数的变异系数
ft_app_ins_current_finance_cnt_cv|1|3|0.8485|1.1314|近三月金融类APP安装个数的变异系数
ft_app_ins_current_finance_cnt_cv|1|4|1.1314|inf|近三月金融类APP安装个数的变异系数
ft_app_ins_current_debit_credit_cnt_cv|1|0|-inf|0.2828|近三月借贷类APP安装个数的变异系数
ft_app_ins_current_debit_credit_cnt_cv|1|1|0.2828|0.5657|近三月借贷类APP安装个数的变异系数
ft_app_ins_current_debit_credit_cnt_cv|1|2|0.5657|0.8485|近三月借贷类APP安装个数的变异系数
ft_app_ins_current_debit_credit_cnt_cv|1|3|0.8485|1.1314|近三月借贷类APP安装个数的变异系数
ft_app_ins_current_debit_credit_cnt_cv|1|4|1.1314|inf|近三月借贷类APP安装个数的变异系数
ft_app_ins_current_micro_loan_cnt_cv|1|0|-inf|0.2828|近三月小贷类APP安装个数的变异系数
ft_app_ins_current_micro_loan_cnt_cv|1|1|0.2828|0.5657|近三月小贷类APP安装个数的变异系数
ft_app_ins_current_micro_loan_cnt_cv|1|2|0.5657|0.8485|近三月小贷类APP安装个数的变异系数
ft_app_ins_current_micro_loan_cnt_cv|1|3|0.8485|1.1314|近三月小贷类APP安装个数的变异系数
ft_app_ins_current_micro_loan_cnt_cv|1|4|1.1314|inf|近三月小贷类APP安装个数的变异系数
ft_app_act_30d_finance_cnt_cv|1|0|-inf|0.2828|近三月30天金融类APP活跃个数的变异系数
ft_app_act_30d_finance_cnt_cv|1|1|0.2828|0.5657|近三月30天金融类APP活跃个数的变异系数
ft_app_act_30d_finance_cnt_cv|1|2|0.5657|0.8485|近三月30天金融类APP活跃个数的变异系数
ft_app_act_30d_finance_cnt_cv|1|3|0.8485|1.1314|近三月30天金融类APP活跃个数的变异系数
ft_app_act_30d_finance_cnt_cv|1|4|1.1314|inf|近三月30天金融类APP活跃个数的变异系数
ft_app_act_30d_finance_times_cv|1|0|-inf|0.2828|近三月30天金融类APP活跃次数的变异系数
ft_app_act_30d_finance_times_cv|1|1|0.2828|0.5657|近三月30天金融类APP活跃次数的变异系数
ft_app_act_30d_finance_times_cv|1|2|0.5657|0.8485|近三月30天金融类APP活跃次数的变异系数
ft_app_act_30d_finance_times_cv|1|3|0.8485|1.1314|近三月30天金融类APP活跃次数的变异系数
ft_app_act_30d_finance_times_cv|1|4|1.1314|inf|近三月30天金融类APP活跃次数的变异系数
ft_app_act_30d_finance_days_cv|1|0|-inf|0.2828|近三月30天金融类APP活跃天数的变异系数
ft_app_act_30d_finance_days_cv|1|1|0.2828|0.5657|近三月30天金融类APP活跃天数的变异系数
ft_app_act_30d_finance_days_cv|1|2|0.5657|0.8485|近三月30天金融类APP活跃天数的变异系数
ft_app_act_30d_finance_days_cv|1|3|0.8485|1.1314|近三月30天金融类APP活跃天数的变异系数
ft_app_act_30d_finance_days_cv|1|4|1.1314|inf|近三月30天金融类APP活跃天数的变异系数
ft_app_act_30d_debit_credit_cnt_cv|1|0|-inf|0.2828|近三月30天借贷类APP活跃个数的变异系数
ft_app_act_30d_debit_credit_cnt_cv|1|1|0.2828|0.5657|近三月30天借贷类APP活跃个数的变异系数
ft_app_act_30d_debit_credit_cnt_cv|1|2|0.5657|0.8485|近三月30天借贷类APP活跃个数的变异系数
ft_app_act_30d_debit_credit_cnt_cv|1|3|0.8485|1.1314|近三月30天借贷类APP活跃个数的变异系数
ft_app_act_30d_debit_credit_cnt_cv|1|4|1.1314|inf|近三月30天借贷类APP活跃个数的变异系数
ft_app_act_30d_debit_credit_times_cv|1|0|-inf|0.2828|近三月30天借贷类APP活跃次数的变异系数
ft_app_act_30d_debit_credit_times_cv|1|1|0.2828|0.5657|近三月30天借贷类APP活跃次数的变异系数
ft_app_act_30d_debit_credit_times_cv|1|2|0.5657|0.8485|近三月30天借贷类APP活跃次数的变异系数
ft_app_act_30d_debit_credit_times_cv|1|3|0.8485|1.1314|近三月30天借贷类APP活跃次数的变异系数
ft_app_act_30d_debit_credit_times_cv|1|4|1.1314|inf|近三月30天借贷类APP活跃次数的变异系数
ft_app_act_30d_debit_credit_days_cv|1|0|-inf|0.2828|近三月30天借贷类APP活跃天数的变异系数
ft_app_act_30d_debit_credit_days_cv|1|1|0.2828|0.5657|近三月30天借贷类APP活跃天数的变异系数
